filename,width,height,class,xmin,ymin,xmax,ymax
0-2019_07_07_22_56_15.png,1024,768,motorcycle,293,494,388,577
0-2019_07_07_22_56_15.png,1024,768,player,337,500,379,548
0-2019_07_07_22_56_15.png,1024,768,player,469,385,499,425
0-2019_07_07_22_56_15.png,1024,768,player,560,392,581,435
0-2019_07_07_22_56_15.png,1024,768,player,438,400,468,441
0-2019_07_07_22_56_15.png,1024,768,player,421,415,464,457
0-2019_07_07_22_56_15.png,1024,768,player,434,274,473,310
0-2019_07_07_22_56_15.png,1024,768,player,649,334,677,370
0-2019_07_07_22_56_15.png,1024,768,player,551,341,576,381
0-2019_07_07_22_56_15.png,1024,768,player,288,431,335,466
0-2019_07_07_22_56_15.png,1024,768,player,178,437,252,496
0-2019_07_07_22_56_15.png,1024,768,player,138,439,183,480
0-2019_07_07_22_56_15.png,1024,768,player,512,206,546,250
0-2019_07_07_22_56_15.png,1024,768,player,482,159,507,205
0-2019_07_07_22_56_15.png,1024,768,player,506,46,527,94
0-2019_07_07_22_56_15.png,1024,768,player,653,299,676,335
0-2019_07_07_22_56_15.png,1024,768,player,668,270,688,312
0-2019_07_07_22_56_15.png,1024,768,player,636,242,659,287
0-2019_07_07_22_56_15.png,1024,768,player,546,307,612,345
0-2019_07_07_22_56_15.png,1024,768,player,598,294,620,337
0-2019_07_07_22_56_15.png,1024,768,player,543,275,566,319
0-2019_07_07_22_56_15.png,1024,768,player,375,148,444,189
0-2019_07_07_22_56_15.png,1024,768,sandbag,954,489,1008,600
0-2019_07_07_22_56_15.png,1024,768,wire,968,270,1024,322
1-2019_07_07_22_56_15.png,1024,768,wire,201,199,395,273
1-2019_07_07_22_56_15.png,1024,768,sandbag,2,409,114,516
1-2019_07_07_22_56_15.png,1024,768,wire,99,409,332,537
1-2019_07_07_22_56_15.png,1024,768,wire,36,511,220,768
1-2019_07_07_22_56_15.png,1024,768,sandbag,649,218,747,252
1-2019_07_07_22_56_15.png,1024,768,sandbag,752,185,783,263
1-2019_07_07_22_56_15.png,1024,768,sandbag,685,144,716,216
1-2019_07_07_22_56_15.png,1024,768,sandbag,691,107,781,141
1-2019_07_07_22_56_15.png,1024,768,sandbag,636,46,664,113
1-2019_07_07_22_56_15.png,1024,768,sandbag,679,48,768,82
1-2019_07_07_22_56_15.png,1024,768,wire,1,123,157,187
1-2019_07_07_22_56_15.png,1024,768,wire,1,126,163,286
1-2019_07_07_22_56_15.png,1024,768,wire,95,250,290,417
1-2019_07_07_22_56_15.png,1024,768,player,504,410,533,452
10-2019_07_07_22_56_15.png,1024,768,scv,419,77,568,288
10-2019_07_07_22_56_15.png,1024,768,player,472,422,496,457
10-2019_07_07_22_56_15.png,1024,768,sandbag,284,539,412,628
10-2019_07_07_22_56_15.png,1024,768,sandbag,7,404,135,489
10-2019_07_07_22_56_15.png,1024,768,sandbag,1,446,91,520
10-2019_07_07_22_56_15.png,1024,768,sandbag,1,397,41,476
10-2019_07_07_22_56_15.png,1024,768,foxhole,476,491,631,670
11-2019_07_07_22_56_15.png,1024,768,scv,168,404,355,586
11-2019_07_07_22_56_15.png,1024,768,player,549,408,577,447
